continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,life_expectancy,human_development_index
North America,Bermuda,185,9,2970.79,144.525,62273,1308.82,NA,82.59,NA
Europe,Iceland,3668,10,10748.718,29.304,341250,3.404,37.3,82.99,0.935
Africa,Mauritius,407,10,320.027,7.863,1271767,622.962,37.4,74.99,0.79
Oceania,French Polynesia,3189,11,11352.633,39.159,280904,77.324,32.7,77.66,NA
Europe,Guernsey,258,13,3847.76,193.879,67052,NA,NA,NA,NA
Asia,Sri Lanka,5038,13,235.275,0.607,21413250,341.955,34.1,76.98,0.77
Africa,Sao Tome and Principe,929,15,4238.893,68.443,219161,212.841,18.7,70.39,0.589
Africa,Botswana,5039,20,2142.774,8.505,2351625,4.044,25.8,69.59,0.717
North America,United States Virgin Islands,1328,20,12717.505,191.529,104423,306.48,42.2,80.58,NA
Africa,Tanzania,509,21,8.521,0.352,59734213,64.699,17.7,65.46,0.538
North America,Sint Maarten (Dutch part),719,22,16766.942,513.036,42882,1209.088,NA,78.95,NA
Europe,Isle of Man,346,24,4069.056,282.247,85032,147.872,NA,81.4,NA
Europe,Cyprus,2047,25,2337.027,28.542,875899,127.657,37.3,80.98,0.869
Oceania,New Zealand,1518,25,314.792,5.184,4822233,18.206,37.9,82.29,0.917
Asia,Singapore,57884,28,9894.121,4.786,5850343,7915.731,42.4,83.62,0.932
North America,Aruba,4229,32,39609.988,299.721,106766,584.8,41.2,76.29,NA
Europe,Jersey,483,32,4778.724,316.603,101073,NA,NA,NA,NA
Africa,Rwanda,4908,32,378.932,2.471,12952209,494.869,20.3,69.02,0.524
Asia,Maldives,10993,35,20336.995,64.75,540542,1454.433,30.6,78.92,0.717
Asia,Vietnam,1113,35,11.434,0.36,97338583,308.127,32.6,75.4,0.694
North America,Belize,2585,39,6501.166,98.083,397621,16.426,25,74.62,0.708
Africa,Guinea-Bissau,2385,40,1211.891,20.325,1967998,66.191,19.4,58.32,0.455
Africa,Benin,2411,41,198.875,3.382,12123198,99.11,18.8,61.77,0.515
Europe,Latvia,2840,41,1505.671,21.737,1886202,31.212,43.9,75.29,0.847
Africa,Lesotho,1805,42,842.571,19.606,2142252,73.562,22.2,54.33,0.52
Europe,San Marino,752,42,22158.053,1237.551,33938,556.667,NA,84.97,NA
Europe,Malta,3937,44,8916.54,99.651,441539,1454.037,42.4,82.53,0.878
Africa,Togo,1972,50,238.201,6.04,8278737,143.366,19.4,61.04,0.503
South America,Uruguay,2337,51,672.764,14.682,3473727,19.751,35.6,77.91,0.804
Africa,Gabon,8860,54,3980.72,24.262,2225728,7.859,23.1,66.47,0.702
Africa,South Sudan,2798,55,249.961,4.913,11193729,NA,19.2,57.85,0.388
Europe,Andorra,2995,57,38762.7,737.721,77265,163.755,NA,83.73,0.858
Asia,Thailand,3652,59,52.321,0.845,69799978,135.132,40.1,77.15,0.755
Africa,Djibouti,5428,61,5493.916,61.741,988002,41.285,25.4,67.11,0.476
Oceania,Guam,3266,61,19350.29,361.411,168783,304.128,31.4,80.07,NA
Europe,Slovakia,20886,61,3825.525,11.173,5459643,113.128,41.2,77.54,0.855
Africa,Central African Republic,4855,62,1005.225,12.837,4829764,7.479,18.3,53.28,0.367
Africa,Burkina Faso,2305,63,110.27,3.014,20903278,70.151,17.6,61.58,0.423
Europe,Estonia,3908,68,2946.012,51.261,1326539,31.033,42.7,78.74,0.871
Africa,Niger,1203,69,49.697,2.85,24206636,16.955,15.1,62.42,0.354
Africa,Guinea,11134,70,847.801,5.33,13132792,51.755,19,61.6,0.459
Africa,Sierra Leone,2309,72,289.458,9.026,7976985,104.7,19.1,54.7,0.419
Africa,Mozambique,10258,73,328.199,2.336,31255435,37.728,17.7,60.85,0.437
Africa,Cape Verde,7254,77,13047.044,138.492,555988,135.58,25.7,72.98,0.654
Asia,Tajikistan,10297,79,1079.617,8.283,9537642,64.281,23.3,71.1,0.65
Africa,Liberia,1371,82,271.073,16.213,5057677,49.127,19.2,64.1,0.435
Africa,Equatorial Guinea,5066,83,3610.873,59.16,1402985,45.194,22.4,58.74,0.591
Africa,Congo,5156,92,934.381,16.672,5518092,15.405,19,64.57,0.606
Africa,Chad,1321,92,80.422,5.601,16425859,11.833,16.7,54.24,0.404
North America,Trinidad and Tobago,5127,93,3663.475,66.453,1399491,266.886,36.2,73.51,0.784
Africa,Uganda,9945,95,217.42,2.077,45741000,213.759,16.4,63.37,0.516
Africa,Somalia,3864,99,243.123,6.229,15893219,23.5,16.8,57.4,NA
Asia,Georgia,12841,102,3218.961,25.569,3989175,65.032,38.7,73.77,0.78
South America,Guyana,3565,106,4532.4,134.764,786559,3.952,26.3,69.91,0.654
Europe,Lithuania,6366,106,2338.472,38.938,2722291,45.135,43.5,75.93,0.858
South America,Suriname,5072,107,8645.936,182.397,586634,3.612,29.6,71.68,0.72
North America,Bahamas,5163,108,13129.12,274.636,393248,39.497,34.3,73.92,0.807
Africa,Swaziland,5696,114,4909.651,98.262,1160164,79.492,21.5,60.19,0.588
Africa,Gambia,3636,118,1504.553,48.828,2416664,207.566,17.5,62.05,0.46
Africa,Cote d'Ivoire,20183,120,765.137,4.549,26378275,76.399,18.7,57.78,0.492
North America,Cuba,6017,123,531.227,10.859,11326616,110.408,43.1,78.8,0.777
Africa,Namibia,12000,129,4722.706,50.769,2540916,3.078,22,63.71,0.647
Africa,Mali,3296,132,162.759,6.518,20250834,15.196,16.4,59.31,0.427
Europe,Luxembourg,9840,133,15719.453,212.468,625976,231.447,39.7,82.25,0.904
North America,Jamaica,7910,146,2671.25,49.305,2961161,266.879,31.4,74.47,0.732
Europe,Slovenia,9231,147,4440.261,70.709,2078932,102.619,44.5,81.32,0.896
North America,Nicaragua,5353,154,808.054,23.247,6624554,51.667,27.3,74.48,0.658
Africa,Mauritania,7554,163,1624.635,35.056,4649660,4.289,20.3,64.92,0.52
Asia,Malaysia,16880,163,521.535,5.036,32365998,96.254,29.9,76.16,0.802
Africa,Malawi,5827,181,304.601,9.462,19129955,197.519,18.1,64.26,0.477
Europe,Montenegro,14268,213,22717.502,339.138,628062,46.28,39.1,76.88,0.814
Africa,Angola,6488,219,197.406,6.663,32866268,23.89,16.8,61.15,0.581
Asia,Qatar,128405,220,44568.666,76.361,2881060,227.322,31.9,80.23,0.856
Asia,Jordan,28127,225,2756.7,22.052,10203140,109.285,23.2,74.53,0.735
North America,Haiti,8887,230,779.388,20.171,11402533,398.448,24.3,64,0.498
Africa,Zimbabwe,8036,230,540.674,15.475,14862927,42.729,19.6,61.49,0.535
Asia,Syria,4826,231,275.761,13.2,17500657,NA,21.7,72.7,0.536
Africa,Madagascar,16754,237,605.034,8.559,27691019,43.951,19.6,67.04,0.519
Africa,Democratic Republic of Congo,10871,275,121.38,3.071,89561404,35.879,17,60.68,0.457
Europe,Norway,15639,277,2884.763,51.095,5421242,14.462,39.7,82.4,0.953
Asia,Bahrain,76272,286,44824.143,168.079,1701583,1935.907,32.4,77.29,0.846
Africa,Ghana,47126,310,1516.625,9.977,31072945,126.719,21.1,64.07,0.592
Africa,Senegal,15307,315,914.182,18.813,16743930,82.328,18.7,67.94,0.505
Europe,Croatia,20993,330,5113.673,80.385,4105268,73.726,44,78.49,0.831
Africa,Zambia,15587,345,847.859,18.766,18383956,22.995,17.7,63.89,0.588
Europe,Finland,12499,346,2255.845,62.447,5540718,18.136,42.8,81.91,0.92
Africa,Cameroon,21333,423,803.628,15.935,26545864,50.885,18.8,59.29,0.556
Europe,Albania,15752,429,5473.626,149.072,2877800,104.871,38,78.57,0.785
Asia,South Korea,24889,438,485.457,8.543,51269183,527.967,43.4,83.03,0.903
Asia,United Arab Emirates,108608,448,10981.153,45.296,9890400,112.442,34,77.97,0.863
Asia,Palestine,56467,459,11068.888,89.975,5101416,778.202,20.4,74.05,0.686
Europe,Greece,23060,462,2212.403,44.325,10423056,83.479,45.3,82.24,0.87
Africa,Tunisia,32556,478,2754.637,40.445,11818618,74.228,32.7,76.7,0.735
Asia,Lebanon,55869,479,8185.404,70.179,6825442,594.561,31.1,78.93,0.757
Asia,Uzbekistan,61859,512,1848.237,15.298,33469199,76.134,28.2,71.72,0.71
Asia,Yemen,2056,597,68.933,20.016,29825968,53.508,20.3,66.12,0.452
Asia,Azerbaijan,42381,612,4179.926,60.36,10139175,119.309,32.4,73,0.757
Europe,Kosovo,16204,638,8383.805,330.096,1932774,168.155,NA,NA,NA
Africa,Libya,44985,656,6546.808,95.47,6871287,3.623,29,72.91,0.706
Asia,Nepal,115358,663,3959.185,22.755,29136808,204.43,25,70.78,0.574
Asia,Kuwait,112737,672,26398.627,157.356,4270563,232.128,33.7,75.49,0.803
Europe,Denmark,33101,674,5714.751,116.363,5792203,136.52,42.3,80.9,0.929
Asia,Myanmar,30437,693,559.403,12.737,54409794,81.721,29.1,67.13,0.578
South America,Venezuela,84391,710,2967.758,24.968,28435943,36.253,29,72.06,0.761
North America,Puerto Rico,54540,738,19064.331,257.966,2860840,376.232,38.2,80.1,NA
Europe,Serbia,35006,767,5144.464,112.718,6804596,80.291,41.2,76,0.787
Africa,Kenya,41937,787,779.914,14.636,53771300,87.324,20,66.7,0.59
Europe,Macedonia,21193,800,10172.412,383.991,2083380,82.6,39.1,75.8,0.757
Africa,Sudan,13691,836,312.229,19.065,43849269,23.258,19.7,65.31,0.502
Europe,Austria,57762,879,6413.439,97.597,9006400,106.749,44.4,81.54,0.908
Oceania,Australia,27317,899,1071.26,35.255,25499881,3.202,37.9,83.44,0.939
North America,El Salvador,30480,899,4699.207,138.602,6486201,307.811,27.6,73.32,0.674
Europe,Belarus,84524,906,8944.981,95.88,9449321,46.858,40.3,74.79,0.808
Europe,Bulgaria,25774,923,3709.319,132.835,6948445,65.18,44.7,75.05,0.813
Europe,Bosnia and Herzegovina,31173,947,9501.602,288.648,3280815,68.496,42.5,77.4,0.768
Europe,Hungary,40782,1023,4221.586,105.897,9660350,108.043,43.4,76.88,0.838
Asia,Armenia,58624,1039,19783.79,350.63,2963234,102.931,35.7,75.09,0.755
Asia,Oman,107213,1053,20994.896,206.203,5106622,14.98,30.7,77.86,0.821
Asia,Kyrgyzstan,50201,1094,7694.594,167.684,6524191,32.333,26.3,71.45,0.672
Europe,Czech Republic,129747,1106,12115.717,103.278,10708982,137.176,43.3,79.38,0.888
South America,Paraguay,51197,1108,7177.958,155.345,7132530,17.144,26.5,74.25,0.702
Africa,Nigeria,60655,1116,294.242,5.414,206139587,209.588,18.1,54.69,0.532
North America,Costa Rica,90238,1124,17714.17,220.647,5094114,96.079,33.6,80.28,0.794
Africa,Ethiopia,85718,1305,745.61,11.351,114963583,104.957,19.8,66.6,0.463
Asia,Afghanistan,39994,1480,1027.375,38.019,38928341,54.422,18.6,64.83,0.498
Europe,Moldova,63275,1495,15685.568,370.603,4033963,123.655,37.6,71.9,0.7
Asia,Japan,90140,1638,712.702,12.951,126476458,347.778,48.2,84.63,0.909
Europe,Switzerland,65726,1807,7594.327,208.79,8654618,214.243,43.1,83.78,0.944
Africa,Algeria,53399,1818,1217.736,41.459,43851043,17.348,29.1,76.88,0.754
Europe,Ireland,44159,1830,8943.059,370.611,4937796,69.874,38.7,82.3,0.938
Asia,Israel,297274,2055,34344.936,237.42,8655541,402.606,30.6,82.97,0.903
Europe,Portugal,89121,2110,8740.175,206.93,10196707,112.371,46.2,82.05,0.847
Asia,Kazakhstan,144218,2141,7680.687,114.024,18776707,6.681,30.6,73.6,0.8
North America,Dominican Republic,119008,2183,10970.599,201.237,10847904,222.873,27.6,74.08,0.736
North America,Panama,121296,2511,28111.824,581.955,4314768,55.133,29.7,78.51,0.789
North America,Honduras,84852,2528,8566.922,255.235,9904608,82.805,24.9,75.27,0.617
Africa,Morocco,156946,2685,4252.063,72.743,36910558,80.08,29.6,76.68,0.667
Europe,Poland,135278,3101,3574.376,81.936,37846605,124.027,41.8,78.73,0.865
North America,Guatemala,98380,3410,5491.314,190.337,17915567,157.834,22.9,74.3,0.65
Asia,China,90858,4739,63.125,3.293,1439323774,147.674,38.7,76.91,0.752
Asia,Saudi Arabia,340089,5087,9768.78,146.12,34813867,15.322,31.9,75.13,0.853
Europe,Ukraine,270587,5133,6187.143,117.369,43733759,77.39,41.4,72.06,0.751
Europe,Romania,160461,5535,8340.974,287.717,19237682,85.129,43,76.05,0.811
Asia,Bangladesh,381275,5577,2315.116,33.864,164689383,1265.036,27.5,72.59,0.608
Africa,Egypt,104787,6071,1023.966,59.325,102334403,97.999,25.3,71.99,0.696
Asia,Philippines,344713,6372,3145.735,58.149,109581085,351.873,25.2,71.23,0.699
Asia,Pakistan,320463,6601,1450.766,29.883,220892331,255.573,23.5,67.27,0.562
Europe,Netherlands,188662,6622,11010.411,386.463,17134873,508.544,43.2,82.28,0.931
South America,Bolivia,138922,8351,11901.11,715.41,11673029,10.202,25.4,71.51,0.693
Asia,Turkey,338779,8957,4016.869,106.202,84339067,104.914,31.6,77.69,0.791
North America,Canada,186881,9654,4951.519,255.788,37742157,4.037,41.4,82.43,0.926
Europe,Germany,334585,9677,3993.426,115.499,83783945,237.016,46.6,81.33,0.936
Asia,Iraq,409358,9970,10177.338,247.871,40222503,88.125,20,70.6,0.685
Asia,Indonesia,340622,12027,1245.311,43.971,273523621,145.725,29.3,71.72,0.694
South America,Ecuador,148171,12235,8398.26,693.474,17643060,66.939,28.1,77.01,0.752
South America,Chile,484280,13396,25333.475,700.767,19116209,24.282,35.4,80.18,0.843
Africa,South Africa,694537,18028,11710.544,303.969,59308690,46.754,27.3,64.13,0.699
Europe,Russia,1326178,22966,9087.49,157.372,145934460,8.823,39.6,72.58,0.816
South America,Argentina,917022,24572,20289.993,543.679,45195777,16.177,31.9,76.67,0.825
South America,Colombia,924098,28141,18161.274,553.054,50882884,44.223,32.2,77.29,0.747
Asia,Iran,508389,29070,6052.758,346.1,83992953,49.831,32.4,76.68,0.798
Europe,France,756472,32933,11589.265,504.539,65273512,122.578,42,82.66,0.901
South America,Peru,853974,33419,25900.097,1013.562,32971846,25.129,29.1,76.74,0.75
Europe,Italy,365467,36246,6044.591,599.486,60461828,205.859,47.9,83.51,0.88
Europe,United Kingdom,634920,43018,9352.738,633.68,67886004,272.898,40.8,81.32,0.922
North America,Mexico,825340,84420,6401.321,654.76,128932753,66.444,29.3,75.05,0.774
Asia,India,7239389,110586,5245.917,80.135,1380004385,450.419,28.2,69.66,0.64
South America,Brazil,5113628,150998,24057.406,710.38,212559409,25.04,33.5,75.88,0.759
North America,United States,7856714,215902,23736.106,652.267,331002647,35.608,38.3,78.86,0.924
