continent,location,total_cases_per_million,total_deaths_per_million,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index
Europe,Russia,9087.49,157.372,8.823,39.6,24765.954,72.58,0.816
Africa,Gabon,3980.72,24.262,7.859,23.1,16562.413,66.47,0.702
Africa,Central African Republic,1005.225,12.837,7.479,18.3,661.24,53.28,0.367
Asia,Kazakhstan,7680.687,114.024,6.681,30.6,24055.588,73.6,0.8
Africa,Mauritania,1624.635,35.056,4.289,20.3,3597.633,64.92,0.52
Africa,Botswana,2142.774,8.505,4.044,25.8,15807.374,69.59,0.717
North America,Canada,4951.519,255.788,4.037,41.4,44017.591,82.43,0.926
South America,Guyana,4532.4,134.764,3.952,26.3,7435.047,69.91,0.654
Africa,Libya,6546.808,95.47,3.623,29,17881.509,72.91,0.706
South America,Suriname,8645.936,182.397,3.612,29.6,13767.119,71.68,0.72
Europe,Iceland,10748.718,29.304,3.404,37.3,46482.958,82.99,0.935
Oceania,Australia,1071.26,35.255,3.202,37.9,44648.71,83.44,0.939
Africa,Namibia,4722.706,50.769,3.078,22,9541.808,63.71,0.647
Asia,Mongolia,97.612,0,1.98,28.6,11840.846,69.87,0.741
North America,Greenland,281.829,0,0.137,NA,NA,71.7,NA
